hspeed,Distancefromexchange,MarketClassification, t24hr , httppost24hr , dns_24hrs , jitter_24hrs_up , jitter_24hrs_down , latencyloss24 
76.00,695.16,695.16,73.74,18.53,7.11,0.26,0.30,6.25
76.00,494.43,494.43,53.96,9.09,6.43,4.46,0.36,5.54
17.00,689.45,689.45,14.84,0.74,36.37,0.72,0.81,34.56
70.00,337.38,337.38,76.37,4.98,13.95,1.20,0.31,15.90
76.00,2451.59,2451.59,67.34,17.87,29.09,0.30,0.37,22.16
17.00,2310.00,2310.00,6.01,0.71,28.54,0.82,0.44,38.37
38.00,4012.36,4012.36,37.08,9.36,4.87,0.29,0.28,13.21
17.00,523.00,523.00,18.53,1.06,9.05,0.52,0.33,10.67
38.00,3639.72,3639.72,23.14,1.83,19.43,0.43,0.27,12.01
76.00,590.53,590.53,72.58,18.46,13.49,0.36,0.44,8.12
17.00,740.52,740.52,12.02,0.82,70.10,1.46,1.12,25.91
76.00,1194.97,1194.97,66.77,18.57,13.85,0.24,0.38,15.93
38.00,2844.13,2844.13,36.43,6.97,18.17,0.29,0.28,15.02
17.00,374.77,374.77,11.86,0.77,21.64,0.77,0.35,15.14
38.00,1168.14,1168.14,23.21,3.18,26.02,0.45,0.34,20.38
20.00,1845.32,1845.32,15.56,0.78,19.19,1.50,0.58,15.30
76.00,3127.56,3127.56,65.82,13.46,17.62,0.43,0.41,18.30
52.00,2613.58,2613.58,48.33,8.56,9.93,0.27,0.19,9.25
38.00,3114.11,3114.11,37.28,9.31,14.90,0.22,0.36,10.72
76.00,671.53,671.53,73.36,18.56,17.26,0.37,0.24,10.38
76.00,1739.04,1739.04,73.88,16.95,11.60,0.34,0.42,10.88
76.00,1264.07,1264.07,55.61,18.56,7.77,0.25,0.40,7.27
76.00,1699.84,1699.84,70.58,17.17,12.96,0.22,0.33,10.80
17.00,112.25,112.25,18.65,1.07,10.97,0.67,0.36,11.87
38.00,2093.99,2093.99,36.37,8.88,28.30,0.21,0.19,13.97
76.00,1411.46,1411.46,69.36,18.39,26.01,0.30,0.27,18.14
76.00,332.00,332.00,60.01,12.41,10.25,3.41,0.35,12.60
38.00,2265.96,2265.96,29.07,6.27,17.00,0.28,0.36,24.00
38.00,4241.04,4241.04,25.06,5.91,18.22,0.34,0.65,17.85
76.00,2081.48,2081.48,52.81,10.10,10.69,0.24,0.30,19.21
0.00,582.47,582.47,26.62,7.66,29.15,0.71,1.49,19.99
75.00,1323.16,1323.16,73.51,9.86,13.73,0.71,0.80,11.97
76.00,114.20,114.20,65.42,17.34,18.98,0.32,0.69,15.27
38.00,627.62,627.62,25.02,5.89,25.70,0.55,0.50,17.55
52.00,1019.65,1019.65,48.33,7.26,15.28,0.31,0.20,15.85
38.00,1440.65,1440.65,33.10,5.24,19.71,0.51,0.33,9.41
76.00,2435.37,2435.37,44.97,12.87,10.11,0.24,0.31,7.62
76.00,527.52,527.52,69.95,18.17,13.89,0.40,0.23,13.44
38.00,863.95,863.95,40.89,6.48,12.28,0.32,0.28,5.16
38.00,1384.50,1384.50,14.59,4.80,21.01,1.07,0.40,12.30
76.00,819.75,819.75,54.15,9.38,11.80,0.47,0.24,10.76
76.00,738.37,738.37,72.02,18.62,5.60,0.32,0.29,15.45
76.00,1319.41,1319.41,74.28,18.43,18.18,0.30,0.32,9.80
38.00,1479.34,1479.34,36.45,9.27,7.24,0.28,0.33,7.00
76.00,2069.54,2069.54,74.05,18.42,25.64,0.31,0.31,12.85
76.00,2144.20,2144.20,68.43,18.54,8.92,0.33,0.39,8.17
8.00,2525.86,2525.86,5.47,0.31,53.74,1.00,0.79,46.11
52.00,1762.92,1762.92,35.65,8.82,26.32,0.57,0.60,26.60
38.00,1328.93,1328.93,37.23,9.32,13.57,0.22,0.36,20.94
8.00,4469.73,4469.73,1.48,0.32,35.94,0.81,0.58,24.70
76.00,280.48,280.48,57.03,13.28,9.71,0.21,0.44,8.99
55.00,3381.94,3381.94,38.67,6.45,12.29,0.97,1.24,11.65
17.00,582.18,582.18,12.90,0.82,18.82,0.88,0.36,35.96
38.00,1149.67,1149.67,24.05,6.23,22.55,0.36,0.50,15.71
20.00,244.74,244.74,16.58,0.99,13.33,0.60,0.44,12.65
76.00,301.03,301.03,70.71,18.57,14.11,0.33,0.36,8.13
76.00,1582.93,1582.93,72.15,20.82,10.46,0.42,0.33,6.16
17.00,2742.29,2742.29,13.25,0.44,28.15,2.29,0.46,29.61
76.00,437.89,437.89,42.13,18.34,6.77,0.35,0.92,6.26
17.00,1170.62,1170.62,6.67,0.83,35.94,0.92,0.40,31.59
38.00,1851.22,1851.22,37.35,9.33,6.17,0.27,0.29,5.15
76.00,1266.33,1266.33,49.90,10.35,18.60,0.31,0.37,18.48
76.00,596.59,596.59,73.09,16.93,15.50,0.22,0.33,6.77
76.00,948.24,948.24,72.69,18.41,15.65,0.33,0.34,7.36
76.00,1158.27,1158.27,74.09,18.57,13.22,0.40,0.31,5.50
38.00,1209.72,1209.72,35.62,9.27,14.63,0.27,0.32,21.74
76.00,3019.65,3019.65,35.99,14.08,9.28,0.33,0.31,7.78
17.00,2313.70,2313.70,10.19,0.94,26.13,0.59,0.40,26.55
38.00,565.89,565.89,36.55,7.49,25.73,0.37,0.27,13.88
8.00,3747.70,3747.70,1.41,0.37,47.52,0.81,0.66,45.31
38.00,0.00,0.00,36.75,9.24,17.18,0.42,0.29,8.22
8.00,0.00,0.00,4.33,0.85,30.49,0.59,0.37,36.02
38.00,5133.18,5133.18,24.84,4.38,33.12,5.07,2.55,31.46
76.00,719.96,719.96,58.06,18.55,28.49,0.27,0.34,29.29
76.00,2477.52,2477.52,73.81,18.57,16.81,0.20,0.36,16.77
17.00,2344.89,2344.89,4.37,0.89,9.31,0.50,0.61,11.96
38.00,1473.67,1473.67,33.45,5.96,28.03,0.31,0.48,27.15
55.00,2825.50,2825.50,50.98,9.26,14.62,0.42,0.27,13.17
17.00,2994.18,2994.18,2.05,0.14,37.01,2.75,0.49,36.59
52.00,882.52,882.52,44.63,7.16,21.21,0.31,0.25,11.66
38.00,2843.52,2843.52,36.81,8.45,19.55,0.33,0.42,11.21
38.00,2211.26,2211.26,25.13,9.20,14.84,0.54,0.57,24.02
38.00,2679.68,2679.68,24.32,4.72,14.68,0.57,0.46,13.95
38.00,4593.60,4593.60,25.38,8.88,26.32,0.44,0.70,21.99
76.00,253.51,253.51,56.77,16.11,4.18,0.40,0.33,7.45
76.00,1446.77,1446.77,69.49,18.67,10.68,0.21,0.38,11.41
76.00,5392.84,5392.84,60.84,15.59,11.28,0.23,0.30,10.79
76.00,1975.71,1975.71,57.64,18.49,12.09,0.20,0.34,10.52
17.00,686.94,686.94,14.17,0.80,29.58,0.85,0.28,32.07
38.00,1182.15,1182.15,30.91,8.84,26.78,0.31,0.27,18.93
52.00,3045.99,3045.99,41.39,9.96,14.77,0.28,0.30,14.89
76.00,499.00,499.00,61.48,18.57,14.95,0.30,0.32,5.84
76.00,1244.72,1244.72,47.56,10.09,7.90,2.74,0.30,8.07
76.00,708.94,708.94,63.16,11.81,17.04,2.73,4.94,12.16
76.00,961.30,961.30,60.82,18.51,13.51,0.38,0.49,13.87
38.00,691.00,691.00,28.06,0.91,9.52,1.97,0.33,15.47
76.00,76.03,76.03,56.63,10.01,10.63,0.29,0.49,9.93
38.00,256.11,256.11,36.06,9.21,14.11,0.48,0.30,12.32
76.00,1624.35,1624.35,54.70,15.46,24.34,0.50,0.42,17.96
17.00,276.49,276.49,16.00,0.82,16.19,0.89,0.48,26.28
4000.00,2237.69,2237.69,3.27,0.86,58.07,23.20,5.40,50.00
76.00,1377.31,1377.31,52.91,17.41,9.19,0.21,0.26,8.50
52.00,359.56,359.56,36.21,7.81,25.66,0.29,0.26,18.26
20.00,1866.21,1866.21,6.23,0.79,47.36,0.48,0.52,40.91
76.00,141.66,141.66,73.56,18.58,17.80,0.20,0.41,12.60
76.00,1103.61,1103.61,71.23,18.65,11.05,0.40,0.39,7.32
52.00,3974.99,3974.99,44.43,9.65,18.55,0.38,0.25,11.27
38.00,2890.10,2890.10,36.74,9.31,7.27,0.23,0.46,6.02
76.00,2518.73,2518.73,46.75,14.26,14.65,0.54,0.45,14.20
0.00,2370.40,2370.40,20.87,8.42,50.55,1.29,1.44,45.80
76.00,0.00,0.00,73.73,18.41,18.65,0.26,0.29,6.31
17.00,48.05,48.05,11.89,0.95,23.42,0.48,0.37,18.27
38.00,2969.46,2969.46,30.76,5.36,17.84,0.32,1.36,26.45
17.00,0.00,0.00,9.82,0.60,23.94,5.36,0.43,23.81
0.00,3353.76,3353.76,3.62,0.46,71.53,27.77,4.35,40.47
70.00,999.00,999.00,58.35,4.99,9.29,1.61,0.77,15.14
76.00,1208.04,1208.04,65.41,16.09,10.42,0.25,1.27,9.74
80.00,1285.81,1285.81,73.89,18.55,14.63,0.27,0.29,11.96
52.00,1758.04,1758.04,48.42,9.31,7.25,0.18,0.34,5.50
17.00,4891.62,4891.62,11.36,0.84,23.71,0.72,0.50,22.12
38.00,3307.64,3307.64,20.72,3.98,28.49,0.36,0.34,28.45
76.00,2929.48,2929.48,73.28,18.47,10.53,0.19,0.51,9.83
76.00,699.50,699.50,62.37,16.63,20.26,0.22,0.40,20.16
52.00,790.83,790.83,47.40,8.46,12.43,0.23,0.26,6.03
8.00,3125.75,3125.75,3.50,0.33,39.25,1.19,0.51,33.47
38.00,0.00,0.00,16.27,4.49,23.70,0.31,1.24,24.43
76.00,2762.91,2762.91,71.69,18.18,13.24,1.13,1.19,12.17
52.00,1907.93,1907.93,37.05,6.44,14.65,0.32,0.28,6.25
52.00,1158.86,1158.86,47.01,9.12,19.42,0.35,0.37,12.26
76.00,924.41,924.41,72.48,18.55,9.00,0.31,0.36,7.20
76.00,2628.72,2628.72,49.43,15.55,15.02,1.69,0.45,12.54
38.00,1026.35,1026.35,37.31,9.33,10.98,0.28,0.31,13.28
55.00,2740.11,2740.11,46.69,9.17,13.84,0.65,0.28,11.68
38.00,934.95,934.95,26.24,9.22,19.55,0.78,0.97,15.44
17.00,0.00,0.00,10.32,0.77,24.73,0.83,0.46,23.44
17.00,3550.91,3550.91,7.56,0.74,14.08,0.61,0.71,10.62
38.00,1173.01,1173.01,37.81,4.25,19.66,0.49,0.94,10.99
40.00,667.17,667.17,33.35,1.83,10.91,0.41,0.40,8.81
40.00,2621.43,2621.43,35.71,7.00,13.43,0.41,0.65,8.51
38.00,1060.38,1060.38,40.07,4.11,14.42,0.37,0.40,14.31
17.00,2950.10,2950.10,5.09,0.84,48.90,0.79,0.57,24.29
76.00,1558.37,1558.37,72.37,16.93,12.03,0.20,0.21,6.98
0.00,1843.00,1843.00,58.71,18.33,14.31,0.26,0.40,9.32
40.00,2555.47,2555.47,23.22,6.49,28.52,0.51,0.84,25.48
38.00,3994.30,3994.30,33.00,7.98,16.45,0.33,0.23,16.44
76.00,3247.02,3247.02,56.43,6.41,7.49,0.37,0.31,7.67
17.00,6241.77,6241.77,0.83,0.34,38.42,0.99,0.76,35.79
76.00,557.52,557.52,68.69,18.56,16.93,0.37,0.26,11.79
0.00,472.76,472.76,15.62,0.83,22.60,1.44,0.38,21.11
76.00,5989.17,5989.17,74.58,20.87,15.05,0.28,0.23,13.83
38.00,1186.66,1186.66,36.96,9.27,13.73,0.39,0.38,13.92
76.00,2244.31,2244.31,50.70,9.19,17.48,0.21,0.22,9.73
38.00,1420.61,1420.61,28.92,6.05,10.92,0.46,0.18,10.44
17.00,1767.24,1767.24,17.68,0.88,30.68,0.77,0.48,25.11
76.00,1435.70,1435.70,68.70,18.52,6.90,0.20,0.37,6.21
17.00,0.00,0.00,18.59,1.02,17.49,0.58,0.39,12.70
76.00,4500.76,4500.76,63.01,18.57,17.25,0.23,0.25,9.43
