Domain,Ip,Ip_bin,Throughput,Unit
www.eckeroskola.ax,213.204.35.136,11010101110011000010001110001000,6681.60000,Kb/s
www.kbtterapi.ax,151.101.16.238,10010111011001010001000011101110,6169.60000,Kb/s
www.douanemobile.dz,80.246.1.129,01010000111101100000000110000001,3691.52000,Kb/s
olti.fgjm.edu.al,188.121.41.117,10111100011110010010100101110101,2370.56000,Kb/s
old.moph.gov.af,103.132.98.201,01100111100001000110001011001001,669.00000,Kb/s
www.cs.rahnama.af,107.190.136.210,01101011101111101000100011010010,2145.28000,Kb/s
www.britishcouncil.al,2.20.36.14,00000010000101000010010000001110,4065.28000,Kb/s
ma.ax,90.255.233.79,01011010111111111110100101001111,7244.80000,Kb/s
www.skrinnare.ax,194.132.80.204,11000010100001000101000011001100,5140.48000,Kb/s
gdsc.gov.af,103.132.98.203,01100111100001000110001011001011,349440.00000,Kb/s
www.ensm.dz,207.180.215.85,11001111101101001101011101010101,10496.00000,Kb/s
www.klsh.org.al,216.55.105.147,11011000001101110110100110010011,304.50000,Kb/s
crm.al,177.66.162.132,10110001010000101010001010000100,2324.48000,Kb/s
www.vet.al,69.89.31.164,01000101010110010001111110100100,4843.52000,Kb/s
www.auaf.edu.af,166.62.119.53,10100110001111100111011100110101,3747.84000,Kb/s
hanyr.ax,185.199.109.153,10111001110001110110110110011001,7475.20000,Kb/s
caravanclub.ax,79.133.15.185,01001111100001010000111110111001,507760.64000,Kb/s
tekreja.al,5.189.131.173,00000101101111011000001110101101,3148.80000,Kb/s
www.aiss.af,192.254.232.192,11000000111111101110100011000000,667.50000,Kb/s
www.osfbk.ax,194.110.177.53,11000010011011101011000100110101,2012.16000,Kb/s
www.tiranabank.al,45.60.46.218,00101101001111000010111011011010,2508.80000,Kb/s
ansej.dz,197.112.0.246,11000101011100000000000011110110,10301.44000,Kb/s
www.itelv.dz,197.112.0.111,11000101011100000000000001101111,3916.80000,Kb/s
www.univ-boumerdes.dz,193.194.80.114,11000001110000100101000001110010,2862.08000,Kb/s
onlineapp.momp.gov.af,107.161.181.194,01101011101000011011010111000010,7188.48000,Kb/s
www.mec.af,69.12.74.28,01000101000011000100101000011100,1479.68000,Kb/s
lbr.al,155.187.2.124,10011011101110110000001001111100,1269.76000,Kb/s
www.uamd.edu.al,37.139.112.111,00100101100010110111000001101111,4121.60000,Kb/s
www.ssd.al,5.189.128.206,00000101101111011000000011001110,1510.40000,Kb/s
www.umsh.edu.al,72.52.252.192,01001000001101001111110011000000,1914.88000,Kb/s
www.sante.dz,196.20.107.97,11000100000101000110101101100001,393.00000,Kb/s
www.mariehamn.ax,217.114.90.153,11011001011100100101101010011001,4756.48000,Kb/s
www.andi.dz,213.179.181.44,11010101101100111011010100101100,4075.52000,Kb/s
www.univ-km.dz,193.194.80.9,11000001110000100101000000001001,8273.92000,Kb/s
www.h2020.dz,193.194.90.27,11000001110000100101101000011011,3389.44000,Kb/s
elalcom.al,207.180.224.99,11001111101101001110000001100011,2073.60000,Kb/s
www.di.ax,194.110.179.130,11000010011011101011001110000010,3973.12000,Kb/s
www.kobbaklintarsvanner.ax,194.110.177.53,11000010011011101011000100110101,2452.48000,Kb/s
cbsloc.al,192.0.66.136,11000000000000000100001010001000,10511.36000,Kb/s
cort.as,193.33.2.139,11000001001000010000001010001011,6046.72000,Kb/s
www.ensh.dz,193.194.82.40,11000001110000100101001000101000,1295.36000,Kb/s
www.climatdesaffaires.dz,213.179.181.53,11010101101100111011010100110101,46643.20000,Kb/s
www.uniel.edu.al,192.185.226.138,11000000101110011110001010001010,512128.00000,Kb/s
harakat.af,207.180.249.180,11001111101101001111100110110100,2785.28000,Kb/s
www.unitir.edu.al,37.139.112.94,00100101100010110111000001011110,5893.12000,Kb/s
www.portdebejaia.dz,128.65.195.18,10000000010000011100001100010010,6640.64000,Kb/s
cnr.dz,197.112.0.95,11000101011100000000000001011111,17459.20000,Kb/s
akm.gov.al,134.0.42.123,10000110000000000010101001111011,308.79000,Kb/s
mol.ax,182.50.134.1,10110110001100101000011000000001,4433.92000,Kb/s
www.bvi.dz,154.73.92.52,10011010010010010101110000110100,3840.00000,Kb/s
aeiti.af,184.154.121.27,10111000100110100111100100011011,8867.84000,Kb/s
www.gep-technologies.dz,164.132.161.180,10100100100001001010000110110100,9461.76000,Kb/s
www.byggvaruhuset.ax,194.110.177.53,11000010011011101011000100110101,5719.04000,Kb/s
www.skidtunnel.ax,212.17.177.2,11010100000100011011000100000010,5038.08000,Kb/s
p.red.af,45.33.56.104,00101101001000010011100001101000,1546.24000,Kb/s
prokurimetransparente.al,144.76.44.140,10010000010011000010110010001100,3712.00000,Kb/s
www.enet.al,94.125.116.14,01011110011111010111010000001110,297.00000,Kb/s
www.de-elbayadh.dz,197.112.0.95,11000101011100000000000001011111,7664.64000,Kb/s
myschool.al,52.31.99.78,00110100000111110110001101001110,7244.80000,Kb/s
limpaf.univ-bouira.dz,193.194.80.36,11000001110000100101000000100100,1290.24000,Kb/s
www.enssea.dz,51.91.104.141,00110011010110110110100010001101,15513.60000,Kb/s
spok.al,35.202.87.134,00100011110010100101011110000110,2452.48000,Kb/s
prev.ocs.gov.af,45.33.122.159,00101101001000010111101010011111,6896.64000,Kb/s
www.acci.org.af,173.199.174.207,10101101110001111010111011001111,263.60500,Kb/s
anngo.org.af,162.251.80.12,10100010111110110101000000001100,3584.00000,Kb/s
www.vikingaasen.ax,213.204.35.144,11010101110011000010001110010000,5734.40000,Kb/s
www.aabrar.org.af,207.180.252.169,11001111101101001111110010101001,9123.84000,Kb/s
www.ha.ax,212.17.176.36,11010100000100011011000000100100,6072.32000,Kb/s
www.standard.al,79.137.41.24,01001111100010010010100100011000,5826.56000,Kb/s
www.econsulate.gov.af,151.106.50.212,10010111011010100011001011010100,1986.56000,Kb/s
www.rederiabeckero.ax,194.110.177.53,11000010011011101011000100110101,4392.96000,Kb/s
www.ancc.dz,197.112.0.111,11000101011100000000000001101111,2908.16000,Kb/s
j-p.al,104.26.7.100,01101000000110100000011101100100,3228.16000,Kb/s
www.cnac.dz,41.111.134.91,00101001011011111000011001011011,779.50000,Kb/s
www.aed.al,109.104.129.58,01101101011010001000000100111010,1500.16000,Kb/s
www.inffsen-saida.dz,51.89.103.200,00110011010110010110011111001000,6389.76000,Kb/s
www.parliamentwatch.af,23.229.191.68,00010111111001011011111101000100,5073.92000,Kb/s
azizibank.af,162.222.226.133,10100010110111101110001010000101,808.50000,Kb/s
dap.gov.al,134.0.41.48,10000110000000000010100100110000,3599.36000,Kb/s
www.univ-djelfa.dz,193.194.78.115,11000001110000100100111001110011,1515.52000,Kb/s
www.ciaqes-mesrs.dz,193.194.90.27,11000001110000100101101000011011,4541.44000,Kb/s
www.kulturstiftelsen.ax,195.74.38.66,11000011010010100010011001000010,3599.36000,Kb/s
www.foglo.ax,194.110.177.53,11000010011011101011000100110101,4183.04000,Kb/s
www.instat.gov.al,134.0.63.2,10000110000000000011111100000010,3368.96000,Kb/s
www.sacs.gov.af,45.33.122.159,00101101001000010111101010011111,8207.36000,Kb/s
www.vikingline.ax,192.225.210.31,11000000111000011101001000011111,3793.92000,Kb/s
www.sjofart.ax,194.110.177.98,11000010011011101011000101100010,4111.36000,Kb/s
www.artf.af,162.209.45.233,10100010110100010010110111101001,1597.44000,Kb/s
qsha.gov.al,134.0.41.151,10000110000000000010100110010111,280033.28000,Kb/s
www.dgrsdt.dz,193.194.90.54,11000001110000100101101000110110,8120.32000,Kb/s
ael.af,162.241.252.152,10100010111100011111110010011000,315.54000,Kb/s
cvsoci.al,99.84.5.52,01100011010101000000010100110100,601088.00000,Kb/s
www.dgfp.gov.dz,41.110.190.136,00101001011011101011111010001000,1418.24000,Kb/s
www.univ-alger.dz,193.194.83.126,11000001110000100101001101111110,6374.40000,Kb/s
kultura.gov.al,104.24.123.52,01101000000110000111101100110100,487.84500,Kb/s
www.hekmatyar.af,107.190.136.210,01101011101111101000100011010010,3573.76000,Kb/s
www.pandora.al,5.189.156.32,00000101101111011001110000100000,8842.24000,Kb/s
www.univ-usto.dz,193.194.88.4,11000001110000100101100000000100,2017.28000,Kb/s
www.aihrc.org.af,142.4.1.192,10001110000001000000000111000000,6159.36000,Kb/s
www.sarpandlab.al,138.201.136.117,10001010110010011000100001110101,335160.32000,Kb/s
www.esi.dz,104.31.83.195,01101000000111110101001111000011,3440.64000,Kb/s
www.fmd.edu.al,66.96.147.109,01000010011000001001001101101101,1203.20000,Kb/s
dokumente.reporter.al,198.20.116.229,11000110000101000111010011100101,4981.76000,Kb/s
dcommerce-ouargla.dz,41.111.156.85,00101001011011111001110001010101,2350.08000,Kb/s
ho.ax,104.236.165.234,01101000111011001010010111101010,6538.24000,Kb/s
www.mtp.gov.dz,196.20.107.34,11000100000101000110101100100010,5785.60000,Kb/s
casnos.com.dz,197.112.0.95,11000101011100000000000001011111,2094.08000,Kb/s
www.ru.edu.af,162.221.189.210,10100010110111011011110111010010,4577.28000,Kb/s
perso.usthb.dz,193.194.89.17,11000001110000100101100100010001,4648.96000,Kb/s
gdpa.gov.af,103.132.98.203,01100111100001000110001011001011,329.77500,Kb/s
www.renhallningen.ax,194.110.177.53,11000010011011101011000100110101,1843.20000,Kb/s
www.commerce.gov.dz,197.112.0.89,11000101011100000000000001011001,2626.56000,Kb/s
www.parlament.al,134.0.63.171,10000110000000000011111110101011,1556.48000,Kb/s
www.thepoint.al,46.228.199.245,00101110111001001100011111110101,11627.52000,Kb/s
www.abcom.al,80.78.66.79,01010000010011100100001001001111,2186.24000,Kb/s
www.omsen.ax,194.110.177.98,11000010011011101011000101100010,6420.48000,Kb/s
old.moe.gov.af,103.132.98.203,01100111100001000110001011001011,445.64500,Kb/s
xv.ax,104.27.174.244,01101000000110111010111011110100,8258.56000,Kb/s
www.esm.dz,193.194.90.27,11000001110000100101101000011011,1879.04000,Kb/s
trib.al,54.72.49.150,00110110010010000011000110010110,5355.52000,Kb/s
www.coar.org.af,207.180.249.179,11001111101101001111100110110011,3589.12000,Kb/s
i.af,23.43.69.140,00010111001010110100010110001100,22272.00000,Kb/s
gt.dz,91.197.229.207,01011011110001011110010111001111,6522.88000,Kb/s
www.khs.ax,213.204.35.135,11010101110011000010001110000111,2703.36000,Kb/s
www.pp.gov.al,216.55.105.147,11011000001101110110100110010011,590.00000,Kb/s
icti.edu.af,103.132.98.203,01100111100001000110001011001011,460.10000,Kb/s
www.mobilis.dz,196.20.72.18,11000100000101000100100000010010,1167.36000,Kb/s
www.omsenhalsa.ax,194.110.177.98,11000010011011101011000101100010,5145.60000,Kb/s
www.univ-setif.dz,193.194.86.69,11000001110000100101011001000101,1628.16000,Kb/s
www.fufarma.al,72.52.252.192,01001000001101001111110011000000,523.50000,Kb/s
www.chemicals.al,185.53.100.111,10111001001101010110010001101111,434.66750,Kb/s
www.antonsvanner.ax,84.34.147.32,01010100001000101001001100100000,2539.52000,Kb/s
www.geo.edu.al,185.237.18.2,10111001111011010001001000000010,382172.16000,Kb/s
www.eldjazaireldjadida.dz,136.243.68.206,10001000111100110100010011001110,4659.20000,Kb/s
www.easyjob.af,192.169.82.106,11000000101010010101001001101010,861696.00000,Kb/s
www.kraftnat.ax,194.110.177.53,11000010011011101011000100110101,5391.36000,Kb/s
www.geniehydraulique.dz,191.101.50.140,10111111011001010011001010001100,6538.24000,Kb/s
aop.gov.af,45.33.122.159,00101101001000010111101010011111,2795.52000,Kb/s
www.cuniv-tissemsilt.dz,193.194.90.27,11000001110000100101101000011011,4608.00000,Kb/s
www.bank-of-algeria.dz,80.246.4.135,01010000111101100000010010000111,1249.28000,Kb/s
www.pgj.al,207.180.224.99,11001111101101001110000001100011,338.00000,Kb/s
www.qkr.gov.al,134.0.41.216,10000110000000000010100111011000,1935.36000,Kb/s
www.8am.af,104.31.70.147,01101000000111110100011010010011,30617.60000,Kb/s
www.opvm.dz,191.101.50.140,10111111011001010011001010001100,7403.52000,Kb/s
www.tassiliairlines.dz,197.112.0.85,11000101011100000000000001010101,5672.96000,Kb/s
www.cder.dz,193.194.80.203,11000001110000100101000011001011,3189.76000,Kb/s
www.dcommerce-msila.dz,5.226.5.50,00000101111000100000010100110010,6400.00000,Kb/s
rem.ax,199.175.219.105,11000111101011111101101101101001,4802.56000,Kb/s
old.sao.gov.af,103.132.98.203,01100111100001000110001011001011,1740.80000,Kb/s
old.afghancricket.af,162.241.71.103,10100010111100010100011101100111,725.50000,Kb/s
www.epoka.edu.al,69.195.106.153,01000101110000110110101010011001,300.00000,Kb/s
www.mf.gov.dz,197.112.0.111,11000101011100000000000001101111,8995.84000,Kb/s
8am.af,104.31.71.147,01101000000111110100011110010011,16179.20000,Kb/s
