Ip,Throughput
172.217.169.78,1.361
216.58.204.238,1.349
157.240.1.35,0.43
220.181.38.148,0
172.217.169.35,1.328
172.217.20.131,1.036
13.82.28.61,1.085
182.22.59.229,0.31
36.51.254.234,0.041
216.58.206.131,1.422
172.217.169.3,1.357
216.58.213.3,1.374
216.58.210.195,1.313
217.69.139.202,1.035
172.217.169.67,1.418
216.58.198.163,1.439
216.58.211.163,1.428
64.4.250.37,0.075
192.0.78.17,0.032
66.6.33.31,0.308
172.217.169.9,1.473
185.88.181.11,0.652
216.58.205.35,1.51
125.209.222.141,0.213
17.172.224.47,0.253
111.13.49.147,0.001
34.210.113.146,0.106
198.11.132.250,0.144
217.20.147.1,0.275
66.254.114.41,3.244
216.58.204.67,1.329
216.58.204.3,1.282
124.225.65.154,0.016
216.58.198.169,1.44
133.152.43.29,0.065
205.204.101.142,0.161
103.23.108.107,0.003
216.58.210.35,1.4
202.108.8.151,0.001
123.30.175.29,0.026
216.21.13.12,0
159.53.116.62,0.09
192.147.130.204,0.266
42.236.9.70,0.155
216.58.210.227,1.283
216.58.204.227,0.907
66.254.124.133,0
216.58.213.99,1.326
203.104.153.16,0
171.159.228.150,0.24
223.165.27.146,0.371
34.102.244.163,0.005
202.130.245.42,0.001
185.88.181.54,0.639
159.45.2.143,0.073
216.58.206.99,1.478
169.47.19.136,0.119
106.10.218.150,0.011
186.192.90.5,0.34
72.21.206.80,0.293
124.108.115.103,0.01
185.89.12.132,0.547
103.68.221.190,0.025
203.119.169.82,0.142
200.147.35.149,0.665
5.226.176.16,0.642
202.6.246.29,0.032
119.235.235.13,0.033
216.18.168.124,1.591
103.49.221.211,0.041
35.201.95.83,0.701
216.58.204.35,1.2
31.216.148.10,0.004
144.82.252.27,1.748
113.11.255.45,0.015
216.58.204.14,1.294
14.17.102.104,0.018
66.29.212.110,0.156
185.230.63.164,1.075
173.192.101.27,0.005
96.114.21.40,0.137
176.58.115.78,1.53
52.76.79.135,0.002
56.0.134.100,0.097
212.77.98.9,1.489
203.104.150.138,0
123.30.128.195,0.095
103.252.142.19,0.004
212.97.32.174,0.97
192.193.218.80,0.393
192.0.72.2,0.031
153.2.228.50,0.376
42.156.140.12,0.054
59.151.116.98,0.02
208.85.40.20,0.024
218.211.33.75,0.218
194.50.69.193,0.338
54.239.26.220,0.107
198.143.164.252,0.06
50.19.210.76,0.421
103.6.117.2,0.159
204.135.8.50,0.076
209.102.213.14,0
207.241.224.2,0.123
157.240.1.18,0.475
216.105.38.13,0.133
137.254.120.50,0.123
15.72.164.74,0.002
54.172.126.223,0.015
134.175.173.148,0.113
185.188.104.10,0.003
211.45.27.231,0.037
104.215.191.114,0.002
161.47.7.14,0.03
35.168.232.115,0.45
143.166.147.101,0.53
216.58.211.169,1.368
